ʾi,𒀪
ʾu,𒀪
aʾ,𒀪
ah₄,𒀪
eʾ,𒀪
eh₂,𒀪
iʾ,𒀪
ih₂,𒀪
uʾ,𒀪
uh₅,𒀪
umun₄,𒀪
ab,𒀊
aba,𒀊
abba,𒀊
agarinₓ,𒀊
ap,𒀊
ašₓ,𒀊
eri₁₂,𒀊
es₃,𒀊
esa₃,𒀊
eš₃,𒀊
eša₃,𒀊
ešeₓ,𒀊
eṣ₃,𒀊
ez₃,𒀊
giraba,𒀊
iri₁₂,𒀊
is₃,𒀊
iš₇,𒀊
iṣ₃,𒀊
iz₃,𒀊
unu₅,𒀊
girabaₓ,𒀊𒄫
essadu,𒀊𒄩𒍠𒃮𒄷
ešsadu,𒀊𒄩𒍠𒃮𒄷
sugal₆,𒀊𒈹
zabala₆,𒀊𒈹
zabalam₆,𒀊𒈹
absin₂,𒀊𒉆
abba₂,𒀋
agarin,𒀌
aŋarin,𒀌
erigal,𒀍
ešgal,𒀍
irigal,𒀍
unugi₂,𒀍
urugal,𒀍
agarin₂,𒀎
aŋarin₂,𒀎
nanše,𒀏
našše,𒀏
nazi,𒀏
nigin₆,𒀏
niŋin₆,𒀏
nina,𒀏
sirara,𒀏
siraran,𒀏
ešemen₄,𒀑
ešemin₄,𒀑
niginₓ,𒌓𒆤
unugi,𒀐
ze₄,𒀓
zi₄,𒀓
erimₓ,𒉺𒊷
gunₓ,𒀭𒄷𒈪𒅎
gunuₓ,𒋜
nuₓ,𒋖
siraraₓ,𒀔
unuₓ,𒋼𒈹
unugₓ,𒀔
urugalₓ,𒌽
urukₓ,𒀔
ab₄,𒀕
aba₄,𒀕
eri₁₁,𒀕
erim₅,𒀕
erin₅,𒀕
gun₄,𒀕
guna₄,𒀕
gunu₄,𒀕
iri₁₁,𒀕
irigal₂,𒀕
nu₇,𒀕
sirara₅,𒀕
unu,𒀕
unug,𒀕
urugal₂,𒀕
uruk,𒀕
zabalaₓ,𒈹𒀕𒍝
ab₂,𒀖
ap₂,𒀖
le₈,𒀖
let,𒀖
li₈,𒀖
lid,𒀖
lit,𒀖
liti,𒀖
liṭ,𒀖
liṭi,𒀖
rem₂,𒀖
reme₂,𒀖
rim₂,𒀖
rimu₂,𒀖
munuₓ,𒊺𒉽𒉽
nagadₓ,𒀖𒆪
