Raw Archive Value,Count,Projects,Normalized Archive Value
Ch. 8 (Assyrian reports - varia),48,saao-saa08,Uncertain (SAA Chapter)
Ch. 5 (Letters from Borsippa and Bit-Dakuri),48,saao-saa17,Uncertain (SAA Chapter)
"001 -  Fort Shalmaneser, NE 47-50",46,atae-ctn1,Fort Shalmaneser Archive
Ch. 2 (Letters from Tušhan),46,saao-saa05,Uncertain (SAA Chapter)
Ch. 14 (Miscellaneous Temple Offerings),46,saao-saa07,Uncertain (SAA Chapter)
"Ch. 19 (Mar-Issar, Esarhaddon’s Agent in Babylonia)",46,saao-saa10,Uncertain (SAA Chapter)
Ch. 1 (Letters from Arrapha),46,saao-saa15,Uncertain (SAA Chapter)
07 (The Horse Lists),44,atae-ctn3,Horse Lists
002 - Šibaniba 2,44,atae-szibaniba,Šibaniba Archive
Babylon 7.1.2.4 (Egibi),44,babcity,Egibi Archive
"Ch. 2 (Queries Relating to Šubria, Urarṭu, Scythia, and Mannea (Reign of Esarhaddon))",44,saao-saa04,Uncertain (SAA Chapter)
Ch. 4 (Letters from the Rab Šaqe Province),44,saao-saa05,Uncertain (SAA Chapter)
Ch. 7 (Military Personnel),44,saao-saa11,Uncertain (SAA Chapter)
Acquired by C.J. Rich in Iraq,42,,Uncertain
"Ch. 9 (Letters from Carchemish, Til-Barsip and Harran)",42,saao-saa01,Uncertain (SAA Chapter)
"Ch. 5 (Bahianu, Village Manager of the Stewardess)",42,saao-saa06,Uncertain (SAA Chapter)
Ch. 19 (Nabu-iqbi),42,saao-saa08,Uncertain (SAA Chapter)
Ch. 16 (Unassigned and Unattributed Letters),42,saao-saa13,Uncertain (SAA Chapter)
"Ch. 9 (Letters Pertaining to Elam, Urarṭu, Media and Babylonia)",42,saao-saa16,Uncertain (SAA Chapter)
Ch. 10 (Additions to SAA 10 and 13),42,saao-saa16,Uncertain (SAA Chapter)
"Ch. 1 (Letters to Babylon, Borsippa, Cutha, and Nippur)",42,saao-saa21,Uncertain (SAA Chapter)
"Ch. 2 (Letters to Uruk, Ur, and Kissik)",42,saao-saa21,Uncertain (SAA Chapter)
044 - N 29 Archive,40,"atae-stat2, atae-stat3",Archive N29
Archive N33 (Goldsmiths),40,atae-stat2,Archive N33
Ch. 7 (Letters from Kurbail and Nearby Provinces),40,saao-saa05,Uncertain (SAA Chapter)
Ch. 1 (Letters from Nashir-Bel),40,saao-saa05,Uncertain (SAA Chapter)
"Ch. 10 (Mannu-ki-Arbail, Cohort Commander)",40,saao-saa06,Uncertain (SAA Chapter)
Ch. 15 (Ašaredu the Younger),40,saao-saa08,Uncertain (SAA Chapter)
Ch. 3 (Balasi),40,saao-saa08,Uncertain (SAA Chapter)
"004 - Fort Shalmaneser, SE 14-15",38,atae-ctn3,Fort Shalmaneser Archive
03 (The encrusted group),38,atae-ctn3,Uncertain
03 (Texte aus N 2),38,atae-stat3,Archive N2
09 (Texte aus N 27),38,atae-stat3,Archive N27
10 (Texte aus N 28),38,atae-stat3,Archive N28
3. Butchers,38,borsippa,Ṭābihu Archive
Ch. 6 (Harem Governesses and Other Royal Women),38,saao-saa06,Uncertain (SAA Chapter)
Ch. 7 (Astrologers - Babylonian varia),38,saao-saa10,Uncertain (SAA Chapter)
Ch. 20 (Miscellaneous - varia),38,saao-saa10,Uncertain (SAA Chapter)
Ch. 9 (Harran Census),38,saao-saa11,Uncertain (SAA Chapter)
Ch. 3 (Petitions to the King and the Crown Prince),38,saao-saa16,Uncertain (SAA Chapter)
